	5-MEF-Mock_S5_L001_R1_001	5-MEF-Mock_S5_L002_R1_001	6-MEF-10uM_S6_L001_R1_001	6-MEF-10uM_S6_L002_R1_001	7-MEF-5uM_S7_L001_R1_001	7-MEF-5uM_S7_L002_R1_001	8-MEF-UIFN_S8_L001_R1_001	8-MEF-UIFN_S8_L002_R1_001
Gm10770	0	0	0	0	0	0	0	0
Gm10772	0	0	0	0	0	0	0	0
Gm10774	0	0	0	0	0	0	0	0
Gm10775	1.01177	3.11168	0	0	2.12763	0	1.16714	0
Gm10778	107.8723	94.2092	158.4544	126.1927	119.7966	110.7833	162.309	135.73
Gm10780	1.41227	0	0	0	0	0	0	0
Gm10782	0	0	0	0	0	0	0	0
Gm10784	0	0	0	0	0	0	0	0
Gm10787	0	0	0	0	0	0	0	0
Gm10794	0	0	0	0	0	0	0	0
Gm10797	0	1.00268	1.00657	1.00489	3.00689	0	1.0028	1.00129
Gm10799	0	0	0	0	0	0	0	0
Gm10800	2	1	1.34669	0	2	0	0	0
Gm10801	0	0	0	0	0	1	0	1.37084
Gm10803	0	0	0	0	0	0	0	0
Gm10805	0	1	0	0	0	0	0	0
Gm10807	0	0	0	0	0	0	0	0
Gm10812	0	0	0	0	0	0	0	0
Gm10813	0	0	0	0	0	0	0	0
Gm10819	1.91292	1.949	1.93571	1.90607	1.98833	1.85509	0	1.78749
Gm10837	0	0	0	0	0	0	0	0
Gm10840	0	0	0	0	0	0	0	0
Gm10842	0	0	0	0	0	1	1	0
Gm10845	0	0	0	0	0	0	0	0
Gm10849	0	0	0	0	1	0	0	0
Gm10912	14.6903	11.0808	21.2957	14.1544	10.0726	7.11518	6.12769	11.4351
Gm10913	3.06128	2.03949	2.03524	1.01811	1.01623	0	0	1.01759
Gm10916	0	0	0	0	1.00064	0	0	0
Gm10921	0	0	0	0	0	0	0	0
Gm10922	0	0	0	0	0	0	0	0
Gm10923	0	2.88524	1.05481	0	1.14472	0	0	0
Gm10925	10.809	19.1159	262.873	366.353	111.675	149.791	686.066	218.959
Gm10931	0	0	0	0	0	0	0	0
Gm10936	0	0	0	0	0	0	0	0
Gm10941	13	15	10	5.00755	10	17.0254	12.0565	9.12508
Gm10944	0	0	0	0	0	0	0	0
Gm10945	0	0	0	0	0	0	0	0
Gm10959	0	0	0	0	0	0	0	0
Gm10961	0	0	0	0	0	0	0	0
Gm10964	0	0	0	0	0	0	0	0
Gm10972	0	0	0	0	0	0	0	0
Gm10974	0	0	0	0	0	0	0	0
Gm10985	0	0	0	0	0	0	0	0
Gm10988	0	0	0	0	1	1	3	0
Gm10999	0	0	0	0	0	0	0	0
Gm11007	0	0	0	0	0	0	0	0
Gm11009	0	1	0	0	0	0	0	0
Gm11011	0	1	0	0	1	0	0	0
Gm11020	0	0	0	0	0	0	0	0
Gm11025	0	0	0	0	0	0	1	0
Gm11027	0.858698	0	0	0	0	0	1	1.02007
Gm11032	0	0	0	0	0	0	0	0
Gm11034	0	0	0	0	0	0	0	0
Gm11037	0	0	0	0	0	0	0	0
Gm11042	0	0	0	0	0	0	0	0
Gm11060	0	0	0	0	0	0	0	0
Gm11065	0	0	0	0	0	0	0	0
Gm11077	0	0	0	0	0	0	0	0
Gm11084	0	0	0	0	0	0	0	0
Gm11096	0	0	0	0	0	0	0	0
Gm11099	0	0	0	0	0	0	0	0
Gm1110	1	0	0	0	0	0	0	0
Gm11105	0	0	0	0	0	0	0	0
Gm11107	0	0	0	0	0	0	0	0
Gm11109	0	0	0	0	0	0	0	0
Gm11110	15	21	22	18	23	20	25	15
Gm11111	0	0	0	0	0	0	0	0
Gm11114	0	0	0	0	0	0	0	0
Gm11115	0	0	0	0	0	0	0	0
Gm11116	0	0	0	0	0	0	0	0
Gm11127	16.2481	15.8571	8.64728	14.763	11.8845	4.37196	12.1329	21.467
Gm1113	0	0	0	0	0	0	0	0
Gm11146	0	0	0	0	0	0	0	0
Gm11149	0	0	0	1.06013	1.10226	0	2.15811	1.06952
Gm11168	0	0	0	0	0	0	0	0
Gm11172	0	0	0	0	0	0	0	0
Gm11185	4.02168	5.02635	6.03575	6.03637	3.02119	6.03954	5.0291	8.04405
Gm11188	0	0	0	0	0	0	0	0
Gm11189	0	0	0	0	0	0	0	0
Gm11191	1.00057	0	0	1.00105	1.00041	1.00151	0	0
Gm11196	0	0	1.65002	1.52067	0	0	1.51619	0
Gm11197	0	0	0	0	1	0	0	0
Gm11198	2.00038	0	0	0	0	0	1.0002	0
Gm11199	0	0	0	0	0	0	0	0
Gm11200	0	0	0	0	0	0	0	0
Gm11203	0	0	0	0	0	0	0	0
Gm11204	0	0	0	0	0	0	0	0
Gm11207	0	0	0	1	0	0	0	0
Gm11212	0	0	0	0	0	0	0	0
Gm11213	0	0	1	0	0	0	0	0
Gm11214	0	0	0	0	0	0	0	0
Gm11218	2	1	5	6	6	2	8	6
Gm11219	0	0	0	0	0	0	0	0
Gm11220	0	0	0	0	0	0	0	0
Gm11221	0	0	2.33922	1.13965	0	0	0	1.15286
Gm11222	0	0	0	0	0	0	0	0
Gm11223	5.43691	0	0	0	0	2.88652	2.885	3.14416
Gm11224	32.399	39.7522	73.612	76.5717	41.2895	54.3534	59.1724	46.2976
Gm11225	15.0427	10	19	20.0397	6.03286	11.0289	12.0464	10.0417
Gm11226	2.37058	0	0	2.55346	7.66545	2.50332	12.2459	15.0784
Gm11227	0	0	0	0	0	0	0	0
Gm11229	0	0	0	0	0	0	0	0
Gm1123	0	1	2	2	0	0	1	0
Gm11231	0	0	0	0	0	0	1.51506	0
Gm11232	0	0	0	0	0	0	0	0
Gm11233	0	0	0	0	0	0	0	0
Gm11235	0	0	0	0	0	0	0	1.05717
Gm11236	0	0	0	0	0	0	0	0
Gm11237	0	0	0	0	0	0	0	0
Gm11238	0	0	0	0	0	0	0	0
Gm11239	0	0	0	0	0	0	0	0
Gm11241	0	0	0	0	0	0	0	0
Gm11242	0	0	0	0	0	0	0	0
Gm11243	0	0	0	0	0	0	0	0
Gm11244	0	0	0	0	0	0	0	0
Gm11245	0	0	0	0	0	0	0	0
Gm11246	0	0	0	0	0	1.02332	0	0
Gm11248	0	0	0	0	0	0	0	0
Gm11249	26.9101	26.8371	33.6735	44.1176	30.1373	31.7805	44.8664	23.4698
Gm11251	0	0	0	0	0	0	0	0
Gm11252	0	0	0	0	0	0	0	0
Gm11253	0	0	0	0	0	0	0	0
Gm11254	0	0	0	0	0	0	0	0
Gm11255	0	0	0	0	0	1	0	0
Gm11256	0	0	0	1	0	0	0	0
Gm11257	0	0	0	0	0	0	0	0
Gm11258	3.00119	6.00127	4.00075	4.00025	5.00227	4.00087	6.00154	5.00083
Gm11259	0	0	0	0	0	0	0	0
Gm11260	0	0	0	0	0	0	0	0
Gm11262	0	0	0	0	0	0	0	0
Gm11263	1.74582	1.62666	7.46558	8.46574	0	5.51214	5.13368	1.2639
Gm11268	0	0	0	0	0	0	0	0
Gm11270	1.00037	0	0	1.00032	0	0	1	2.00032
Gm11271	0	0	0	0	0	0	0	0
Gm11273	2.772	1.42008	2.77929	1.39787	0	1.43481	5.67061	2.86674
Gm11278	0	0	0	0	0	0	0	0
Gm11279	0	0	0	0	0	0	0	0
Gm11281	1.00967	0	2.02332	1.01167	0	2.023	1.01094	0
Gm11282	0	0	1	0	0	0	0	1
Gm11284	0	0	0	0	0	0	1.07041	1.0743
Gm11285	0	0	0	1.00644	1.00594	1.00365	0	0
Gm11295	0	0	0	0	0	0	0	0
Gm11298	0	0	0	0	0	0	0	0
Gm11307	0	0	3.00049	2.00031	0	1.00029	0	1.00009
Gm11313	0	0	0	0	0	0	0	0
Gm11318	0	0	0	0	0	0	0	0
Gm11320	0	0	0	0	0	0	0	0
Gm11321	0	0	0	0	0	0	0	0
Gm11322	0	0	0	0	0	0	0	0
Gm11325	0	0	0	0	0	0	0	0
Gm11331	0	0.943583	0.333333	0	0	0.678939	0	2.4
Gm11333	0	0	0	0	0	0	0	0
Gm11334	0	0	0	0	0	0	0	0
Gm11336	7.0289	8.53535	0	0	0	0	3.18721	0
Gm11338	0	0	0	0	0	0	0	0
Gm11340	0	0	0	0	0	0	0	0
Gm11341	0	0	0	0	0	0	0	0
Gm11343	0	0	0	0	0	0	0	0
Gm11344	0	0	0	0	0	0	0	0
Gm11346	1.05751	2.17296	3.67546	0	3.404894	5.09545	4.32547	3.2526
Gm11348	0	0	0	0	0	0	0	0
Gm11349	0	0	0	0	0	0	2.07478	1.04345
Gm11350	0	0	0	0	0	0	0	0
Gm11352	0	0	0	0	0	0	0	0
Gm11353	15.4879	8.94583	11.5145	20.659	12.8162	16.0595	19.2807	21.6624
Gm11354	0	0	1.00014	0	0	0	0	0
Gm11355	0	0	0	0	0	0	0	1
Gm11356	0	0	0	0	0	0	0	0
Gm11357	0	0	0	0	0	0	0	0
Gm11358	0	0	0	0	0	0	0	0
Gm11359	0	0	0	0	0	0	1	0
Gm11360	0	0	0	0	0	0	0	0
Gm11361	2325.82	2267.89	3662.01	3456.27	2675.8	2464.18	3015.44	2848.34
Gm11362	0	0	1.15734	0	0	0	0	1.11832
Gm11363	0	0	0	0	0	0	0	0
Gm11366	0	0	0	0	0	0	0	0
Gm11367	0	0	0	0	0	0	0	0
Gm11369	0	0	0	0	0	0	0	0
Gm11370	0	0	0	0	0	0	0	0
Gm11371	0	0	0	0	0	0	0	0
Gm11372	0	0	0	0	0	0	0	0
Gm11380	0	0	0	0	1.00021	0	0	0
Gm11382	0	0	0	0	0	0	0	0
Gm11383	0	0	0	0	0	0	0	0
Gm11384	0	0	0	0	0	0	0	0
Gm11385	0	0	0.0503003	3.06098	0	0	0	0
Gm11386	0	0	0	0	0	0	0	0
Gm11387	0	0	0	0	0	0	0	0
Gm11388	0	0	0	0	0	0	0	0
Gm11389	0	0	0	0	0	0	0	0
Gm11392	0	0	0	0	0	0	0	0
Gm11393	0	0	0	0	0	0	0	0
Gm11394	0	0	0	0	0	0	0	0
Gm11395	0	0	0	0	0	0	0	0
Gm11397	2	0	0	2	1.69284	3.75806	0	0
Gm11398	0	0.722313	0	0	0	0	0.511063	0
Gm1140	0	0	0	0	0	0	0	0
Gm11400	5.00683	6.0071	10.0141	10.0117	5.00812	9.00798	11.0125	14.0109
Gm11401	0	0	0	2.00731	0	0	0	1.00202
Gm11403	0	0	0	0	0	0	0	0
Gm11404	0	0	0	0	0	0	0	0
Gm11405	0	0	1.21903	3.70966	0	1.28581	0	0
Gm11406	0	0	0	0	0	0	0	0
Gm11407	0	1.00349	1.00336	0	1.00441	0	1.0038	2.00864
Gm11408	0	0	1.00099	1	0	1	0	1
Gm11409	0	0	0	0	0	0	0	0
Gm1141	4	4	15	16	1	5	7	7
Gm11410	1.00012	1.00007	1	1.00015	0	2.0001	1.00024	0
Gm11411	0	0	0	1	0	0	0	0
Gm11414	0	0	0	0	0	0	0	0
Gm11416	0	0	0	0	0	0	0	0
Gm11420	0	0	0	0	0	0	0	0
Gm11421	0	0	0	0	0	0	0	0
Gm11422	0	0	0	0	0	0	0	0
Gm11424	0	0	0	0	0	1	0	0
Gm11425	4.52115	3.15886	0	7.49622	0	1.91978	2.80117	0
Gm11427	0	1	0	0	0	0	0	0
Gm11429	0	0	0	0	0	0	0	0
Gm11430	0	0	0	0	0	0	0	0
Gm11432	0	0	0	0	0	0	0	0
Gm11433	0	0	0	0	0	0	0	0
Gm11434	0	0	0	0	1	0	0	0
Gm11437	0	0	0	0	1	0	0	3
Gm11438	0	0	0	0	0	0	0	0
Gm11439	1	1	0	0	0	0	0	0
Gm11440	0	0	0	0	0	0	0	0
Gm11443	0	0	0	0	0	0	0	0
Gm11444	0	2.001	1.00029	1.01409	0	1.00056	0	1.0126
Gm11445	0	0	0	0	0	0	0	0
Gm11446	0	0	0	0	0	0	0	0
Gm11447	0	0	0	0	0	0	0	0
Gm11448	0	0	0	0	0	0	0	0
Gm11449	4.01844	1.92879	5.95223	2.01943	2.25096	4.59845	3.94455	3.75848
Gm11450	1.00089	0	0	0	0	0	0	0
Gm11451	0	0	0	0	0	0	0	0
Gm11452	0	0	0	0	0	0	0	0
Gm11453	0	0	3.57537	0	0	0	0	0
Gm11456	0	0	0	0	0	0	0	0
Gm11460	0	0	0	0	1	0	0	0
Gm11461	0	0	0	0	0	0	0	0
Gm11462	2.00022	0	0	0	0	0	0	2
Gm11469	0	2.00045	1.00011	1.00006	2.00054	0	4.00034	0
Gm11470	0	0	0	0	0	1.00417	0	0
Gm11471	0	0	0	0	0	0	0	0
Gm11472	0	0	1.00038	0	0	0	1.00074	0
Gm11473	0	0	0	1	0	0	1	0
Gm11474	0	0	2	0	0	1	0	1
Gm11475	0	0	0	0	0	0	0	1
Gm11478	3.07382	4.08722	7.1602	6.13936	3.07473	3.0652	6.13394	5.1007
Gm11480	0	0	0	0	0	0	0	0
Gm11481	0	0	0	0	0	0	0	0
Gm11483	0	0	0	0	1	0	1	0
Gm11484	0	0	0	0	0	0	0	0
Gm11485	0	0	0	0	0	0	0	0
Gm11486	0	0	0	0	0	0	0	0
Gm11487	0	0	0	0	0	0	0	0
Gm11488	0	0	0	0	0	1.05436	0	0
Gm11489	0	0	0	1	0	0	0	0
Gm11490	0	0	0	0	0	0	0	0
Gm11492	0	0	0	0	0	0	0	0
Gm11498	0	0	0	0	0	0	0	0
Gm11500	0	1	0	0	0	1	0	1
Gm11501	31	29	32	27	24	25	34	28
Gm11502	0	0	0	0	0	0	0	0
Gm11504	0	0	0	0	0	0	0	0
Gm11506	0	0	0	0	0	0	0	0
Gm11507	0	0	0	0	0	0	0	0
Gm11509	0	0	0	0	0	0	0	0
Gm11510	0	0	0	0	1	0	1	0
Gm11511	1	1	0	1	1	0	2	5
Gm11512	0	0	1.00022	0	0	0	0	0
Gm11514	0	0	0	0	2	0	0	0
Gm11516	0	0	0	0	1.00044	0	0	0
Gm11517	1.00045	2.00038	2.00161	0	2.00088	3.00167	0	1.00023
Gm11518	3689.49	3618.78	5904.79	5823.25	4498.52	4149.66	4924.39	4891.06
Gm11522	0	0	0	0	0	0	0	0
Gm11524	0	0	0	0	0	0	0	0
Gm11531	0	0	0	1.00265	1.50053	0	2.00841	4.01106
Gm11533	0	0	1.19151	2.41742	1.20779	0	1.20858	0
Gm11539	1.07614	1.07239	1.06832	2.14201	1.06461	1.07377	4.29023	1.05973
Gm11540	0	1.00114	0	0	0	0	0	0
Gm11541	1	0	0	0	0	0	0	0
Gm11543	0	0	0	0	0	0	0	0
Gm11544	0	0	0	0	0	0	0	0
Gm11545	0	0	0	0	1	0	0	0
Gm11546	0	0	0	0	0	0	0	0
Gm11550	0	0	0	0	0	0	2.0003	1.00013
Gm11553	0	0	0	0	0	0	0	0
Gm11554	0	0	0	0	0	0	0	0
Gm11555	0	0	0	0	0	0	0	0
Gm11556	0	0	0	0	0	0	0	0
Gm11557	3.00419	0	0	2.00297	0	0	1.03926	0
Gm11558	0	0	0	0	0	0	0	0
Gm11559	0	0	0	0	0	1	0	0
Gm11560	5.76123	7.98681	12.7856	5.18712	4.63277	1.14155	6.38194	9.16977
Gm11561	0	0	0	0	0	0	0	0
Gm11562	0	0	0	0	0	0	0	0
Gm11563	0	0	0	0	0	0	0	0
Gm11564	0	0	0	0	0	0	0	0
Gm11565	0	0	0	0	0	0	0	0
Gm11566	0	0	0	0	0	0	0	0
Gm11567	0	0	0	0	0	0	0	0
Gm11568	0	0	0	0	0	0	0	0
Gm11569	0	0	0	0	0	0	0	0
Gm11572	0	0	0	0	0	0	0	0
Gm11573	0	0	0	0	1	0	0	0
Gm11575	89.9238	111.02	48.3931	63.9939	84.1016	75.9284	113.256	120.667
Gm11576	0	0	0	0	0	0	0	0
Gm11577	0	0	0	0	0	0	0	0
Gm11578	0	0	0	0	0	0	0	0
Gm11581	1.00111	0	0	0	0.500138	0	0	0
Gm11582	0	0	0	0	0	0	0	0
Gm11584	0	0	0	0	0	0	0	0
Gm11585	0	4.78717	7.4268	0	1.68101e-05	0	0	11.836
Gm11590	0	0	0	0	0	0	0	0
Gm11591	0	0	0	2	0	0	0	0
Gm11594	0	0	0	0	0	0	0	0
Gm11595	0	0	0	0	0	0	0	0
Gm11596	0	0	0	0	0	0	0	0
Gm11597	0	0	0	0	0	0	0	0
Gm11598	0	0	0	0	0	0	0	1.00046
Gm11599	2.15368	5.38398	4.29964	5.7312	2.2972	6.18638	7.58115	4.32736
Gm11600	0	0	0	0	0	0	0	0
Gm11604	2.00364	1.17796	1.00206	2.00371	5.01592	1.0019	4.43183	2.00384
Gm11605	0	1.32396	1.33385	0	1.31375	0	0	1.34175
Gm11606	0	0	0	0	0	0	0	0
Gm11609	0	0	0	0	0	0	0	0
Gm11617	0	0	0	0	0	0	0	0
Gm11618	0	0	0	0	0	0	0	0
Gm11619	0	0	0	0	0	1.00379	0	0
Gm11620	2	0	1.00065	2	0	0	2	2.00147
Gm11621	0	1	0	0	0	0	0	0
Gm11622	0	0	0	0	0	0	0	0
Gm11623	0	0	0	0	0	0	0	0
Gm11624	0	0	0	0	0	0	0	0
Gm11625	0	0	1.00516	0	0	0	0	0
Gm11627	1	2	0	0	1	0	1	0
Gm11628	0	0	0	0	0	0	0	0
Gm11631	0	0	0	0	0	0	0	0
Gm11633	0	2.00514	0	1.00356	0	0	0	0
Gm11634	0	0	0	0	0	0	0	0
Gm11637	0	0	1	1	0	0	0	0
Gm11639	0	0	0	0	0	0	0	0
Gm11643	1.00023	1.05248	1.05278	2.24279	2.00089	1.00027	3.001	1.0004
Gm11644	0	0	0	0	0	0	0	0
Gm11645	4.0141	2.18573	5.00648	1.00413	2.38175	3.0123	6.01994	4.0167
Gm11649	0	0	0	0	0	0	0	0
Gm11652	0	1.03774	0	0	1.0465	0	1.03591	1.03474
Gm11653	0	0	0	0	0	0	0	0
Gm11658	0	0	0	0	0	0	0	0
Gm11660	0	0	0	0	0	0	0	0
Gm11661	0	0	0	0	0	0	0	0
Gm11662	2.00073	0	0	1.0001	2.00077	2.00058	0	1.00041
Gm11663	0	0	0	0	0	0	0	0
Gm11667	3	1	1	0	1	1	1	5
Gm11668	0	0	0	0	0	0	0	0
Gm11673	0	0	0	0	0	0	0	0
Gm11675	1.09911	1.09942	1.09333	0	0	1.09905	0	2.19056
Gm11676	0	0	0	0	0	0	0	0
Gm11677	2.48064	3.94775	2.77206	3.31262	2.52202	4.2652	1.25006	2.34526
Gm11679	0	0	0	0	0	0	0	0
Gm11686	0	0	0	0	1	0	0	0
Gm11687	24.9017	19.7477	9.9478	16.5037	21.0834	17.2418	18.2557	17.9183
Gm11688	2.00272	3.00173	1.00165	1.00087	6.00627	8.00892	2.00222	7.00968
Gm11689	0	0	0	0	0	0	0	0
Gm11692	0	0	0	0	0	0	0	0
Gm11693	0	0	0	0	0	0	2	0
Gm11694	0	0	0	0	0	0	0	0
Gm11698	0	0	0	0	0	0	0	1
Gm11699	0	0	0	0	0	0	0	0
Gm11700	0	0	0	0	0	0	0	0
Gm11701	1.11827	1	0	1.55148	1.16705	0	0	2.39424
Gm11702	0	0	0	0	0	0	0	0
Gm11703	0	2.30644	2.23901	6.8948	0	4.47151	4.27098	0
Gm11704	0	0	0	0	0	0	0	0
Gm11708	0	0	0	0	0	0	0	0
Gm11718	1	1	0	1	0	0	0	0
Gm11719	0	0	0	0	0	0	0	0
Gm11726	0	0	0	0	0	0	0	0
Gm11733	0	1	0	0	0	1	0	1
Gm11735	0	0	0	0	0	0	0	0
Gm11736	0	0	0	0	0	0	0	0
Gm11737	0	0	0	0	0	0	0	0
Gm11742	0	0	0	0	0	0	0	0
Gm11743	0	0	0	0	0	0	0	0
Gm11744	6	2.23636	4	0	6	1	8.32037	7
Gm11745	0	0	1.00005	0	1.00016	0	0	0
Gm11746	0	0	0	0	0	0	0	0
Gm11756	0	0	0	0	0	0	0	0
Gm11757	0	0	0	0	0	0	0	0
Gm11758	0	0	0	0	0	0	0	0
Gm11759	0	0	1.00174	0	0	0	1.00219	1.34283
Gm11760	7.06426	4.04904	6.06854	2.02589	5.06032	8.09804	6.07594	3.03538
Gm11761	0	0	0	0	0	0	1	0
Gm11763	0	0	0	0	0	0	0	0
Gm11764	1	0	0	0	0	0	0	0
Gm11765	0	0	0	0	0	1	0	0
Gm11771	0	0	0	0	0	1.19114	0	0
Gm11774	0	0	0	0	0	0	0	0
Gm11779	0	0	0	0	0	0	0	0
Gm11780	0	0	0	0	0	0	0	0
Gm11781	0	0	0	0	0	0	0	0
Gm11783	0	0	0	0	0	0	0	0
Gm11784	0	0	0	0	0	1	0	0
Gm11785	0	0	0	0	0	0	0	0
Gm11786	0	0	0	0	0	0	0	0
Gm11787	0	0	0	0	0	0	0	0
Gm11790	0	0	0	0	0	0	0	0
Gm11792	0	0	0	0	0	0	0	0
Gm11793	11.1837	3.31494	10.0731	4.51606	4.4751	1.11851	4.80505	6.67969
Gm11794	0	0	0	0	0	0	0	0
Gm11796	1.00002	0	1	1	1.00007	0	0	0
Gm11797	0	0	0	0	0	0	0	0
Gm11798	0	0	0	0	0	0	0	0
Gm11799	0	0	0	0	0	0	0	0
Gm11800	0	0	1	0	0	0	0	1
Gm11801	0	0	0	0	0	0	0	0
Gm11803	0	0	0	0	0	0	0	0
Gm11804	0	0	0	0	0	0	0	0
Gm11805	1.21616	1.15983	0	1.21291	0	0	0	0
Gm11808	98.2105	160.819	64.73	41.8313	123.329	74.1063	108.01	75.122
Gm11809	0	0	0	0	0	0	0	0
Gm11810	0	1.00344	2.11652	1.0039	0	1.00371	1.00321	0
Gm11813	0	0	0	0	0	0	0	0
Gm11814	0	0	0	0	1.00065	0	0	0
Gm11819	0	0	0	0	0	0	0	0
Gm11821	1.35906	0	0	1.33876	1.57514	0	0	0
Gm11822	0	0	0	0	0	0	0	0
Gm11824	8.52312	4.2597	7.73479	5.40886	6.06335	6.90404	6.98521	6.92978
Gm11825	0	0	0	0	0	0	0	0
Gm11826	0	0	2.00797	5.34626	0	1.16528	3.43194	1.00334
Gm11829	0	0	0	0	0	0	0	0
Gm11830	0	0	3.00836	1.00144	1.00134	0	1.00194	0
Gm11833	0	0	0	0	0	0	0	0
Gm11834	0	0	0	0	0	0	0	0
Gm11835	0	0	0	0	0	0	0	0
Gm11836	0	2.14843	1.08762	0	0	1.07183	0	0
Gm11838	0	0	0	0	0	0	0	0
Gm11839	11.8102	6.41702	6.52815	5.82885	7.9468	3.76658	11.9257	12.1541
Gm11841	0	2.15576	3.27185	2.91786	3.96743	5.03528	2.85717	0
Gm11843	2.03804	0	2.01358	0	1.00879	1.00911	1	0
Gm11845	0	0	0	0	0	0	0	0
Gm11847	67.5693	82.9793	159.938	164.467	118.29	53.5299	138.469	167.153
Gm11848	0	0	0	0	0	0	0	0
Gm11849	0	0	0	0	0	0	0	0
Gm11850	0	0	0	0	0	0	0	0
Gm11852	0	0	0	0	0	0	0	0
Gm11853	0	2	0	0	1	1	1	1
Gm11854	0	0	0	0	0	0	0	0
Gm11855	0	0	0	0	0	0	0	0
Gm11856	0	0	0	0	0	0	0	0
Gm11857	0	0	0	0	0	0	0	0
Gm11858	0	0	0	0	0	0	0	0
Gm11859	0	0	0	0	0	0	0	0
Gm11860	0	2	2	4	0	0	3	0
Gm11862	0	0	0	0	0	0	0	0
Gm11864	0	0	0	0	0	0	0	0
Gm11865	1	0	0	0	1	0	0	0
Gm11866	0	0	0	0	0	0	0	0
Gm11868	188.455	201.459	196.928	206.633	196.407	200.543	264.592	246.115
Gm11869	1	0	0	0	0	0	1	0
Gm11870	3	3	5	3	2	2	4	2
Gm11871	0	0	0	0	0	0	0	0
Gm11873	0	0	0	0	0	0	0	0
Gm11874	0	0	0	0	0	0	0	0
Gm11875	2	0	3	3	1	0	0	3
Gm11876	0	0	0	0	0	0	0	0
Gm11877	0	0	1.00167	0	0	0	1.00153	0
Gm11878	1.18239	1.17432	2.33025	2.31936	2.33965	1.16139	1.19121	0
Gm11879	5.22333	0	2	4.19501	2	2.74979	1.04669	7.35934
Gm11880	0	0	0	0	0	0	0	0
Gm11881	0	0	0	0	0	0	0	0
Gm11882	0	0	0	0	0	0	0	0
Gm11885	0	1	0	1	0	0	0	0
Gm11888	1	1	1	0	1.00002	0	1.00003	0
Gm11889	1.25286	2.52183	1.3147	0	1.24295	1.26969	1.275	0
Gm11890	0	0	0	0	0	0	0	0
Gm11891	0	0	0	0	0	0	0	0
Gm11892	2	5	4	3	0	4	1	5
Gm11893	0	0	0	0	0	1.09908	1.09388	1.09917
Gm11894	0	0	0	0	0	0	0	0
Gm11895	0	0	0	0	0	0	0	0
Gm11896	0	0	0	0	0	0	0	0
Gm11897	0	0	0	0	0	0	0	0
Gm11898	0	0	0	0	0	0	0	0
Gm11901	0	0	0	0	0	0	0	0
Gm11902	0	0	0	0	0	0	0	0
Gm11903	0	0	0	0	0	0	0	0
Gm11904	0	0	0	0	0	0	0	0
Gm11905	0	0	0	0	0	0	0	0
Gm11907	0	0	0	0	0	0	0	1.47597e-05
Gm11908	0	0	0	0	0	0	0	0
Gm11909	0	0	0	0	0	0	0	0
Gm11910	0	0	0	0	0	0	0	0
Gm11911	0	0	0	0	0	0	0	0
Gm11912	0	0	0	0	0	0	0	0
Gm11913	0	0	1	0	0	0	0	0
Gm11914	0	2.34997	0	0	0	0	0	0
Gm11918	0	0	0	0	0	0	0	0
Gm11919	0	0	0	0	0	0	0	0
Gm11920	0	0	0	0	0	0	0	0
Gm11922	0	0	0	0	1	0	0	0
Gm11923	0	0	0	0	0	0	0	0
Gm11925	0	0	0	0	0	0	0	0
Gm11926	0	0	0	0	0	0	0	0
Gm11927	0	0	0	0	0	0	1	0
Gm11928	0	0	0	0	0	0	0	0
Gm11929	0	0	1.00006	0	0	0	0	0
Gm11930	0	0	0	0	0	0	0	0
Gm11931	0	0	1.00027	0	0	0	0	0
Gm11933	0	0	0	0	0	0	0	0
Gm11935	0	0	0	0	0	1	0	0
Gm11936	0	0	0	0	0	0	0	0
Gm11937	0	0	0	0	0	0	0	0
Gm11938	0	0	0	0	0	0	0	0
Gm11939	0	0	0	0	0	0	0	0
Gm11941	0	0	0	0	0	0	0	0
Gm11942	38.1051	28.0358	33.0627	16.056	28.1108	28.1188	38.1073	21.0705
Gm11943	0	0	0	0	0	0	0	0
Gm11945	0	0	0	1	1	0	1	0
Gm11949	0	0	0	0	0	0	0	0
Gm11950	0	0	0	0	0	0	0	0
Gm11951	0	0	2.03787	0	2.03022	2.03846	1.01426	2.04966
Gm11952	0	0	0	0	0	0	0	0
Gm11953	22.0474	22.4266	17.8484	25.9305	15.473	25.3914	25.6792	28.1024
Gm11954	0	0	0	0	0	0	1.00541	0
Gm11955	0	0	0	0	0	2.18962	0	0
Gm11956	0	0	1	0	1	1	1	0
Gm11957	0	2.0028	0	1.00109	0	0	0	0
Gm11960	60.87	45.6744	38.0122	21.1366	34.0789	22.4267	40.869	36.7818
Gm11962	0	0	0	0	0	0	0	0
Gm11964	1.33247	0	0	0	1.30914	1.34744	0	1.34755
Gm11965	0	0	0	0	0	0	0	0
Gm11966	0	0	0	0	0	0	0	0
Gm11969	0	0	0	1	0	0	0	0
Gm11970	0	1.00036	0	0	2.00536	0	1.00199	0
Gm11971	0	1	1	0	2	0	0	1
Gm11972	2.0008	1	0	1	0	0	0	0
Gm11975	0	0	0	0	1.00389	1.0024	0	0
Gm11976	0	0	0	0	0	0	0	0
Gm11977	0	0	1.03467	1.02684	1.02217	2.04563	1.01632	1.02942
Gm11978	1	0	0	0	0	0	0	1
Gm11979	2.01319	0	4.22571	3.01996	3.09237	3.14665	0	8.17207
Gm11980	0	0	0	0	0	0	0	0
Gm11982	0	0	0	0	0	0	0	0
Gm11983	1	1	0	0	0	1	0	0
Gm11984	0	0	0	0	0	0	0	0
Gm11985	0	0	0	0	0	0	0	0
